id;start_date;end_date;language
1;2020-02-27T20:01:00;2020-02-27T17:51:15;SPANISH
2;2020-02-27T00:51:11;2020-02-27T19:55:36;SPANISH
3;2020-02-27T15:46:30;2020-02-27T02:20:39;FRENCH
4;2020-02-27T07:04:01;2020-02-27T18:35:27;FRENCH
5;2020-02-27T16:34:19;2020-02-27T21:21:18;FRENCH
6;2020-02-27T10:26:40;2020-02-27T22:34:54;FRENCH
7;2020-02-27T12:12:00;2020-02-27T06:02:51;FRENCH
8;2020-02-27T11:08:13;2020-02-27T21:24:21;SPANISH
9;2020-02-27T09:49:22;2020-02-27T06:30:45;SPANISH
10;2020-02-27T18:01:26;2020-02-27T04:35:56;SPANISH
